Id,category,text
1,snack,"""RecipeName"": "" Reese's™ Peanut Butter Layer Bars"",
""Ingredients"": [
""pouch (17.5 oz) Betty Crocker™ double chocolate chunk cookie mix"",
""Oil, water and egg called for on cookie mix pouch"",
""cup (from 14-oz can) sweetened condensed milk (not evaporated)"",
""cup creamy peanut butter"",
""cup (from 8-oz package) Reese's minis peanut butter cups, coarsely chopped"",
""cup semisweet chocolate chips"",
""cup Reese's peanut butter chips"",
""cup cocktail peanuts, chopped""
],
""PrepMethods"": [
""Heat oven to 350°F. Spray bottom and sides of 13x9-inch pan with cooking spray."",
""In large bowl, mix cookie mix, oil, water and egg with spoon until soft dough forms. Press dough in bottom of pan. Bake 15 minutes."",
""In small bowl, mix condensed milk and peanut butter. Pour evenly over baked crust, carefully spreading to edges. Sprinkle chopped peanut butter cups, chocolate chips, peanut butter chips and peanuts evenly over top. Bake 18 to 22 minutes or until bubbling along edges. Cool completely on cooling rack, about 1 hour. Cut into 6 rows by 4 rows.""
]
"
2,dessert,"""RecipeName"": """"""""Just Bugging You"" Cupcake Cones"""""",
""Ingredients"": [
""box Betty Crocker™ Super Moist™ cake mix (any flavor)"",
""Water, vegetable oil and eggs called for on cake mix box"",
""to 36 flat-bottom ice-cream cones"",
""container Betty Crocker™ Whipped frosting (any flavor)"",
""Assorted candies and cookies, if desired ""
],
""PrepMethods"": [
""Heat oven to 350°F. Make cake batter as directed on box. Fill 12 cones about half full of batter. Stand cones in muffin pan. Refrigerate any leftover batter until ready to fill and bake remaining cones."",
""Bake 21 to 26 minutes or until toothpick carefully inserted in center comes out clean. Cool completely, about 1 hour."",
""Frost with frosting. Decorate with candies and cookies to create bugs and butterflies. Use small cookies or licorice candies for bodies, miniature candy-coated chocolate baking bits for eyes and small pieces of licorice for legs and antennae. Store loosely covered.""
]
"
3,dessert,"""RecipeName"": """"""Easy Fruit Crisp ""Dump"" Dessert"""""",
""Ingredients"": [
""box Betty Crocker™ Super Moist™ yellow cake mix"",
""cup butter, melted"",
""can (21 oz) cherry pie filling"",
""can (8 oz) crushed pineapple, undrained""
],
""PrepMethods"": [
""Heat oven to 350°F (325°F for dark or nonstick pan). In large bowl, stir together cake mix and butter until crumbly; set aside."",
""Spread pie filling and pineapple in ungreased 13x9-inch pan. Sprinkle cake mix mixture evenly over fruit."",
""Bake 38 to 44 minutes or until deep golden brown. Cool 30 minutes. Serve warm or cool. Store loosely covered.""
]
"
4,snack,"""RecipeName"": ""3-Ingredient Crunchy Snack Mix"",
""Ingredients"": [
""cups popped light butter-flavor microwave popcorn"",
""cups Wheat, Corn or Rice Chex™ cereal"",
""jar (7 ounces) marshmallow creme""
],
""PrepMethods"": [
""Heat oven to 350°. Spray cookie sheet with cooking spray. Mix popcorn and cereal in large bowl; set aside."",
""Microwave marshmallow creme in medium microwavable bowl uncovered on High 1 minute; stir. Microwave about 1 minute longer or until melted; stir. Pour over popcorn mixture, stirring until evenly coated. Spread mixture on cookie sheet."",
""Bake 5 minutes; stir. Bake about 5 minutes longer or until coating is light golden brown. Spread on waxed paper or aluminum foil to cool. Store in tightly covered container up to 2 weeks.""
]
"
5,condiment,"""RecipeName"": ""5-Minute Poppy Seed Dressing"",
""Ingredients"": [
""cup mayonnaise or salad dressing"",
""cup sugar"",
""tablespoons cider vinegar"",
""teaspoons poppy seed""
],
""PrepMethods"": [
""""""
In small bowl, mix all ingredients with wire whisk. Store covered in refrigerator.

""""""
]
"
6,condiment,"""RecipeName"": ""Ambrosia Salsa"",
""Ingredients"": [
""red grapefruit (4 lb)"",
""navel oranges (3 lb)"",
""cup pomegranate seeds"",
""cup flaked coconut, toasted"",
""tablespoons chopped crystallized ginger"",
""tablespoons fresh lime juice"",
""tablespoons light agave nectar or honey""
],
""PrepMethods"": [
""Peel grapefruit and oranges down to flesh, leaving no white pith. With sharp knife and between walls of membrane, cut segments straight down. Gently remove sections, reserving 1/4 cup grapefruit and orange juice combined. Chop sectioned fruit."",
""In large bowl, mix chopped orange and grapefruit, reserved juices, pomegranate seeds, coconut, ginger, lime juice and agave nectar. Serve immediately or refrigerate until serving time.""
]
"
7,beverage,"""RecipeName"": ""Angel Food Cake Shakes"",
""Ingredients"": [
""cups vanilla fat-free frozen yogurt, slightly softened"",
""cup fat-free (skim) milk"",
""cooled slice angel food cake, torn into pieces (from 12-inch cake)"",
""Fat-free whipped topping, thawed, if desired"",
""Fresh berries, if desired"",
""Reduced-calorie chocolate-flavor syrup, if desired""
],
""PrepMethods"": [
""In blender, place yogurt and milk. Cover and blend on high speed until smooth and creamy. Add cake pieces; cover and blend until smooth, stopping blender to scrape down sides if necessary."",
""Pour into 2 glasses; top with whipped topping and berries. Drizzle with chocolate syrup. Serve immediately.""
]
"
8,dessert,"""RecipeName"": ""Angel Food Flag Cake"",
""Ingredients"": [
""package Betty Crocker™ white angel food cake mix"",
""cups water"",
""cups fresh or frozen unsweetened (thawed and drained) raspberries"",
""tablespoons sugar"",
""tablespoons seedless red raspberry jam, melted"",
""container (8 ounces) Cool Whip frozen whipped topping, thawed (3 cups)"",
""cups fresh or frozen (thawed and drained) blueberries""
],
""PrepMethods"": [
""Move oven rack to middle position. Heat oven to 350°F. "",
""Beat cake mix and 1 1/4 cups cold water in extra-large glass or metal bowl with electric mixer on low speed 30 seconds; beat on medium speed 1 minute. Pour into 2 ungreased loaf pans, 9x5x3 inches, or 3 ungreased loaf pans, 8 1/2x4 1/2x2 1/2 inches. "",
""Bake 9-inch pans 35 to 45 minutes, 8 1/2-inch pans 28 to 38 minutes, or until top is dark golden brown and cracks feel very dry and not sticky. Do not underbake. Immediately turn each pan on its side on heatproof surface and let rest until completely cool. Run knife around edges; remove from pans. "",
""Line each same loaf pan with plastic wrap, allowing wrap to extend over edges. Place raspberries, sugar and jam in food processor; cover and process, using 3 quick on-and-off motions, until coarsely chopped. Cut each loaf cake horizontally into 4 slices, using serrated or electric knife. Place 1 slice in bottom of each pan; spread 3 tablespoons of the raspberry mixture over each. Top with another slice cake. Repeat with remaining raspberry mixture and cake slices. Cover with plastic wrap and refrigerate at least 2 hours until chilled. "",
""To remove loaves easily from pans, place serving plate upside down on top of pan; turn pan upside down onto plate. Remove pan and plastic wrap. Cut each loaf crosswise into 8 slices, using serrated or electric knife. Serve with whipped topping and blueberries. ""
]
"
9,snack,"""RecipeName"": ""Animal Cracker Cookies"",
""Ingredients"": [
""cup shortening"",
""cup milk"",
""tablespoons honey"",
""cup Gold Medal™ whole wheat flour"",
""cup Gold Medal™ all-purpose flour"",
""teaspoon baking powder"",
""teaspoon salt""
],
""PrepMethods"": [
""Heat oven to 350°F. In large bowl, beat shortening, milk and honey with electric mixer on medium speed until blended. Stir in remaining ingredients until well blended."",
""Divide dough in half. On lightly floured cloth-covered surface, roll half of dough at a time 1/8 inch thick. Cut with about 1 1/4- to 1 1/2-inch animal-shaped cookie cutters. On ungreased cookie sheet, place cutouts about 1 inch apart."",
""Bake 6 to 8 minutes or until edges are very light brown. Remove from cookie sheet to cooling rack. Cool completely, about 30 minutes.""
]
"
10,appetizer,"""RecipeName"": ""Antipasto Platter"",
""Ingredients"": [
""slices prosciutto or thinly sliced fully cooked ham (about 6 oz), cut in half"",
""slices provolone cheese (about 3/4 lb), cut in half"",
""thin slices Genoa salami (about 3/4 lb)"",
""marinated mushrooms"",
""marinated artichoke hearts"",
""kalamata olives, pitted"",
""cup olive or vegetable oil"",
""cup lemon juice"",
""tablespoon chopped fresh or 1/2 teaspoon dried oregano leaves"",
""slices hard-crusted round Italian bread or 24 slices French bread (1/2 inch thick)""
],
""PrepMethods"": [
""On large platter, arrange all ingredients except oil, lemon juice, oregano and bread."",
""In small bowl, mix oil, lemon juice and oregano. Drizzle over meats, cheese and vegetables."",
""If using Italian bread, cut each slice in half. On large plate, arrange bread. Serve with meats, cheese and vegetables.""
]
"
11,appetizer,"""RecipeName"": ""Appetizer Cracker Basket"",
""Ingredients"": [
""cup Gold Medal™ all-purpose flour"",
""cup cornmeal or semolina (pasta) flour"",
""teaspoon salt"",
""cup warm water"",
""4-quart ovenproof bowl"",
""tablespoon sesame seed, mustard seed, poppy seed or coarse ground black pepper"",
""Cheese and fruit, if desired""
],
""PrepMethods"": [
""Mix flour, cornmeal, salt and water until smooth.  Cover and refrigerate at least 1 hour but no longer than 12 hours."",
""Heat oven to 350°F.  Spray outside of bowl with cooking spray; place upside down in 15x10x1-inch pan.  Shape dough into 2 balls.  Roll each ball on lightly floured surface with rolling pin until 1/8 inch thick.  Sprinkle with sesame seed; gently roll seed into dough.  Shape 1 dough, seed side down, over bowl, pleating if necessary.  Place remaining dough for cracker bread, seed side up, on cookie sheet lined with cooking parchment paper."",
""Bake basket 8 to 12 minutes or until golden brown; remove from oven.  Set oven control to broil.  Broil dough for cracker bread with top 6 to 8 inches from heat 3 to 5 minutes; turn over and broil 3 to 5 minutes longer or until light brown.  Cool completely, about 30 minutes.  Remove basket from bowl.  Break cracker bread into pieces.  Fill basket with cracker bread and cheeses.""
]
"
12,beverage,"""RecipeName"": ""Apple Berry Smoothies"",
""Ingredients"": [
""cup fat-free (skim) milk"",
""unpeeled Granny Smith apple, cored, coarsely chopped"",
""pouch (7.6 oz) Yoplait® Smoothie triple berry""
],
""PrepMethods"": [
""In blender, place all ingredients. Cover; blend on high speed 1 minute to 1 minute 30 seconds, stopping to scrape sides as necessary, until smooth."",
""Pour into 2 glasses. Serve immediately.""
]
"
13,condiment,"""RecipeName"": ""Apple Butter"",
""Ingredients"": [
""medium Granny Smith or other cooking apples, peeled and cut into fourths"",
""cups packed brown sugar"",
""cup apple juice"",
""tablespoon ground cinnamon"",
""tablespoon lemon juice"",
""teaspoon ground allspice"",
""teaspoon ground nutmeg"",
""teaspoon ground cloves""
],
""PrepMethods"": [
""Mix all ingredients in 5- to 6-quart slow cooker."",
""Cover and cook on low heat setting 8 to 10 hours or until apples are very tender."",
""Mash apples with potato masher or large fork."",
""Cook uncovered on low heat setting 1 to 2 hours, stirring occasionally, until mixture is very thick. Cool about 2 hours."",
""Spoon apple butter into container. Cover and store in refrigerator up to 3 weeks.""
]
"
14,beverage,"""RecipeName"": ""Apple Cinnamon Cereal Smoothies"",
""Ingredients"": [
""cup Apple Cinnamon Cheerios™ cereal"",
""cup 2% milk"",
""container (5.3 oz) Yoplait® Greek 100 protein apple pie or vanilla yogurt""
],
""PrepMethods"": [
""In blender, place all ingredients. Cover; blend on high speed about 30 seconds or until smooth, stopping blender once to scrape sides."",
""Pour into 2 glasses. Serve immediately.""
]
"
15,condiment,"""RecipeName"": ""Apple Freezer Jam"",
""Ingredients"": [
""cups Gala apples (about 3), peeled and diced"",
""cups Granny Smith apples (about 2), peeled and diced"",
""cup sugar"",
""teaspoon ground cinnamon"",
""teaspoon ground ginger"",
""box (1.75 oz) fruit pectin"",
""Clean canning jars and lids""
],
""PrepMethods"": [
""In large bowl, mix apples, sugar, cinnamon and ginger; toss to coat. Set aside at room temperature 30 minutes."",
""Place the apples and any collected juices into large pot, and mix in pectin. Heat to boiling; reduce heat to medium, and cook jam until thickened and apples have softened, about 10 minutes."",
""Use ladle to transfer jam into clean jars, leaving about 1/2 inch space at top of each jar. Place lids on top, and allow to cool to room temperature (at least 2 hours), before freezing. Defrost jam in refrigerator before using.""
]
"
16,beverage,"""RecipeName"": ""Apple Ginger Martini "",
""Ingredients"": [
""cup chopped unpeeled apple"",
""tablespoon chopped gingerroot"",
""cup vodka (2 oz)"",
""tablespoons orange-flavored liqueur (1 oz)"",
""tablespoons white cranberry juice cocktail (1 oz)"",
""tablespoon lime juice"",
""Ice cubes or crushed ice"",
""Apple slice or lime wedge""
],
""PrepMethods"": [
""In bottom of cocktail shaker, muddle chopped apple and gingerroot with muddler or end of wooden spoon. Add vodka, liqueur, cranberry juice cocktail and lime juice."",
""Fill cocktail shaker with ice; shake until blended. Pour into chilled martini glass, straining out apple, gingerroot and ice. Garnish with apple slice.""
]
"
17,snack,"""RecipeName"": ""Apple Molasses Snack Cake"",
""Ingredients"": [
""cups Gold Medal™ all-purpose flour"",
""teaspoon baking powder"",
""teaspoon ground cinnamon"",
""teaspoon ground ginger"",
""teaspoon ground nutmeg"",
""teaspoon baking soda"",
""teaspoon salt"",
""cup packed brown sugar"",
""cup butter, softened"",
""eggs"",
""cup molasses"",
""cup buttermilk"",
""cups chopped peeled baking apples (1 1/2 medium)"",
""cups powdered sugar"",
""cup butter, softened"",
""tablespoons buttermilk"",
""teaspoon vanilla""
],
""PrepMethods"": [
""Heat oven to 350°F. Grease 8-inch square pan with shortening; lightly flour."",
""In small bowl, mix 1 3/4 cups of the flour, the baking powder, cinnamon, ginger, nutmeg, baking soda and salt. In medium bowl, beat brown sugar and 1/2 cup butter with electric mixer on medium speed 3 minutes or until light and fluffy. Beat in eggs, one at a time. On low speed, beat in molasses. Add flour mixture to butter mixture alternately with 1/2 cup buttermilk, beating after each addition just until smooth. Mix remaining 1/4 cup flour and the apples. Fold into batter. Pour into pan."",
""Bake 45 to 50 minutes or until toothpick inserted in center comes out clean. Cool completely on cooling rack, about 2 hours."",
""In medium bowl, beat powdered sugar, 1/4 cup butter, 2 tablespoons buttermilk and the vanilla with electric mixer on medium speed 2 minutes or until smooth. Frost cake. Sprinkle with additional nutmeg, if desired. Cut into 4 rows by 4 rows.""
]
"
18,condiment,"""RecipeName"": ""Apple Relish"",
""Ingredients"": [
""large red cooking apple, chopped"",
""large tart green apple, chopped"",
""medium onion, finely chopped (1/2 cup)"",
""cup sweetened dried cranberries"",
""cup honey"",
""cup cider vinegar"",
""teaspoon ground cinnamon"",
""teaspoon salt""
],
""PrepMethods"": [
""In 2-quart saucepan, stir together all ingredients. Heat to boiling over high heat; reduce heat to low. Cook 4 to 8 minutes, stirring frequently, until onion is just tender."",
""Spoon relish into heatproof container; cool to room temperature. Cover tightly and refrigerate. Serve relish chilled or at room temperature.""
]
"
19,snack,"""RecipeName"": ""Apple Snack Stacks"",
""Ingredients"": [
""medium apples"",
""tablespoons peanut butter, process cheese dip or sauce, or cream cheese""
],
""PrepMethods"": [
""Wash apples; remove core, leaving apples whole. Fill center of each apple with about 2 tablespoons peanut butter, packing gently. Wrap each tightly in plastic wrap. Refrigerate until filling is set, about 30 minutes."",
""Cut each apple crosswise into 1/2-inch-thick slices. Divide slices into 4 portions; wrap each portion tightly in plastic wrap. Refrigerate until serving time.""
]
"
20,condiment,"""RecipeName"": ""Apple, Radish and Celery Salsa"",
""Ingredients"": [
""cup chopped Granny Smith apple"",
""cup chopped radishes"",
""cup chopped celery"",
""cup chopped green onions"",
""cup chopped fresh basil leaves"",
""tablespoons chopped sweetened dried cranberries"",
""tablespoons olive oil"",
""teaspoons honey"",
""teaspoons cider vinegar"",
""teaspoon grated lemon peel"",
""teaspoons lemon juice"",
""Salt and pepper to taste""
],
""PrepMethods"": [
""In medium bowl, toss apple, radishes, celery, onions, basil and cranberries."",
""In small bowl, mix oil, honey, vinegar, lemon peel and lemon juice with whisk. Pour over apple mixture and toss to coat. Season with salt and pepper."",
""Cover; refrigerate 30 minutes to 2 hours. Serve chilled or at room temperature.""
]
"
21,snack,"""RecipeName"": ""Apple-Cinnamon Crunch Treats"",
""Ingredients"": [
""cups Cinnamon Toast Crunch™ cereal"",
""tablespoons salted butter"",
""apples, peeled, finely chopped"",
""tablespoons sugar"",
""cup salted butter"",
""cups miniature marshmallows"",
""teaspoon ground cinnamon""
],
""PrepMethods"": [
""Place paper baking cup in each of 12 regular-size muffin cups. Place cereal in very large bowl; set aside."",
""Heat 10-inch skillet, melt 2 tablespoons butter over medium heat. Add apples; stir to coat in butter and cook 3 to 4 minutes. Cover skillet with lid; cook 3 to 5 minutes longer or until apples are turning golden and liquid is gone. Sprinkle sugar over apples; stir. Set aside to cool."",
""Meanwhile, in 3-quart saucepan, melt 1/4 cup butter over medium heat. Add marshmallows and cinnamon; cook and stir until marshmallows are completely melted. Stir in apples."",
""Pour marshmallow mixture over cereal; fold to combine. Spoon into lined muffin cups. Cool slightly, about 5 minutes before serving.""
]
"
22,dessert,"""RecipeName"": ""Apple-Cranberry Bake"",
""Ingredients"": [
""cups sliced peeled all-purpose apples"",
""cup fresh or frozen (thawed) cranberries"",
""cup granulated sugar"",
""tablespoons Original Bisquick™ mix"",
""teaspoon ground cinnamon"",
""cup Original Bisquick™ mix"",
""cup chopped nuts"",
""cup packed brown sugar"",
""cup butter or margarine, softened""
],
""PrepMethods"": [
""Heat oven to 375°F. "",
""Stir together apples, cranberries, granulated sugar, 2 tablespoons Bisquick and the cinnamon in medium bowl. Spread in ungreased square baking dish, 8x8x2 inches."",
""Stir together remaining ingredients; sprinkle evenly over apple mixture."",
""Bake 35 to 40 minutes or until topping is brown.""
]
"
23,dessert,"""RecipeName"": ""Apple-Cranberry Dessert"",
""Ingredients"": [
""cups sliced peeled apples (about 6 medium)"",
""cup sweetened dried cranberries"",
""teaspoon ground cinnamon"",
""tablespoons maple-flavored syrup"",
""tablespoon lemon juice"",
""cup quick-cooking oats"",
""cup packed brown sugar"",
""cup Original Bisquick™ mix"",
""cup chopped walnuts"",
""cup butter or margarine, softened"",
""Vanilla ice cream, if desired""
],
""PrepMethods"": [
""Heat oven to 375°F. In large bowl, mix apples, cranberries, cinnamon, syrup and lemon juice. Spoon into ungreased 8-inch square baking dish."",
""In medium bowl, mix remaining ingredients except ice cream with fork until crumbly. Sprinkle over fruit mixture. "",
""Bake 35 to 40 minutes or until apples are tender, juices are bubbly and topping is golden brown. Cool about 30 minutes. Serve warm with ice cream. ""
]
"
